esp1id,RSSI1,esp2id,RSSI2,inOrNot,Passangercount
1111,-32,2222,-45,yes,1
1111,-30,2222,-44,yes,1
1111,-31,2222,-45,yes,1
1111,-30,2222,-47,yes,1
1111,-30,2222,-48,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-44,yes,1
1111,-30,2222,-45,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-45,yes,1
1111,-30,2222,-45,yes,1
1111,-30,2222,-48,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-47,yes,1
1111,-30,2222,-47,yes,1
1111,-29,2222,-46,yes,1
1111,-29,2222,-48,yes,1
1111,-28,2222,-48,yes,1
1111,-29,2222,-47,yes,1
1111,-28,2222,-47,yes,1
1111,-31,2222,-45,yes,1
1111,-31,2222,-50,yes,1
1111,-31,2222,-45,yes,1
1111,-30,2222,-45,yes,1
1111,-31,2222,-46,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-48,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-47,yes,1
1111,-30,2222,-47,yes,1
1111,-29,2222,-48,yes,1
1111,-30,2222,-46,yes,1
1111,-28,2222,-51,yes,1
1111,-29,2222,-50,yes,1
1111,-30,2222,-46,yes,1
1111,-29,2222,-46,yes,1
1111,-29,2222,-46,yes,1
1111,-29,2222,-47,yes,1
1111,-30,2222,-47,yes,1
1111,-30,2222,-46,yes,1
1111,-29,2222,-47,yes,1
1111,-29,2222,-46,yes,1
1111,-29,2222,-46,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-48,yes,1
1111,-30,2222,-46,yes,1
1111,-31,2222,-47,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-46,yes,1
1111,-28,2222,-49,yes,1
1111,-28,2222,-49,yes,1
1111,-28,2222,-49,yes,1
1111,-28,2222,-48,yes,1
1111,-28,2222,-49,yes,1
1111,-30,2222,-48,yes,1
1111,-29,2222,-46,yes,1
1111,-29,2222,-46,yes,1
1111,-28,2222,-45,yes,1
1111,-30,2222,-48,yes,1
1111,-28,2222,-50,yes,1
1111,-28,2222,-48,yes,1
1111,-27,2222,-51,yes,1
1111,-28,2222,-50,yes,1
1111,-28,2222,-49,yes,1
1111,-30,2222,-47,yes,1
1111,-30,2222,-47,yes,1
1111,-31,2222,-46,yes,1
1111,-32,2222,-46,yes,1
1111,-32,2222,-45,yes,1
1111,-30,2222,-44,yes,1
1111,-31,2222,-45,yes,1
1111,-30,2222,-47,yes,1
1111,-30,2222,-48,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-44,yes,1
1111,-30,2222,-45,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-45,yes,1
1111,-30,2222,-45,yes,1
1111,-30,2222,-48,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-46,yes,1
1111,-30,2222,-47,yes,1
1111,-30,2222,-47,yes,1
